0.000	-0.612	1.000
0.049	-0.824	0.999
0.098	0.936	0.995
0.147	-0.285	0.989
0.195	0.383	0.981
0.243	-0.920	0.970
0.290	0.826	0.957
0.337	-0.946	0.942
0.383	0.770	0.924
0.428	0.871	0.904
0.471	-0.240	0.882
0.514	0.281	0.858
0.556	-0.787	0.831
0.596	0.723	0.803
0.634	-0.966	0.773
0.672	-0.988	0.741
0.707	0.979	0.707
0.741	0.100	0.672
0.773	-0.432	0.634
0.803	0.209	0.596
0.831	-0.508	0.556
0.858	0.832	0.514
0.882	-0.321	0.471
0.904	0.197	0.428
0.924	0.748	0.383
0.942	-0.662	0.337
0.957	0.160	0.290
0.970	0.526	0.243
0.981	-0.591	0.195
0.989	-0.313	0.147
0.995	-0.165	0.098
0.999	-0.372	0.049
1.000	-0.904	0.000
0.999	0.167	-0.049
0.995	-0.173	-0.098
0.989	0.916	-0.147
0.981	-0.251	-0.195
0.970	-0.937	-0.243
0.957	0.895	-0.290
0.942	-0.991	-0.337
0.924	0.152	-0.383
0.904	-0.851	-0.428
0.882	0.760	-0.471
0.858	-0.164	-0.514
0.831	0.086	-0.556
0.803	-0.944	-0.596
0.773	0.286	-0.634
0.741	-0.487	-0.672
0.707	-0.777	-0.707
0.672	0.669	-0.741
0.634	0.267	-0.773
0.596	-0.297	-0.803
0.556	0.037	-0.831
0.514	-0.989	-0.858
0.471	0.741	-0.882
0.428	0.264	-0.904
0.383	-0.315	-0.924
0.337	-0.911	-0.942
0.290	-0.084	-0.957
0.243	0.929	-0.970
0.195	-0.232	-0.981
0.147	-0.739	-0.989
0.098	0.264	-0.995
0.049	0.612	-0.999
0.000	-0.618	-1.000
-0.049	-0.340	-0.999
-0.098	0.705	-0.995
-0.147	0.452	-0.989
-0.195	0.156	-0.981
-0.243	-0.697	-0.970
-0.290	-0.619	-0.957
-0.337	0.248	-0.942
-0.383	-0.489	-0.924
-0.428	-0.481	-0.904
-0.471	-0.814	-0.882
-0.514	0.993	-0.858
-0.556	0.178	-0.831
-0.596	0.214	-0.803
-0.634	-0.616	-0.773
-0.672	0.887	-0.741
-0.707	0.719	-0.707
-0.741	0.576	-0.672
-0.773	0.434	-0.634
-0.803	-0.809	-0.596
-0.831	0.880	-0.556
-0.858	0.332	-0.514
-0.882	0.980	-0.471
-0.904	-0.170	-0.428
-0.924	-0.415	-0.383
-0.942	0.542	-0.337
-0.957	0.510	-0.290
-0.970	-0.355	-0.243
-0.981	0.463	-0.195
-0.989	0.089	-0.147
-0.995	0.619	-0.098
-0.999	0.553	-0.049
-1.000	-0.292	0.000
-0.999	-0.782	0.049
-0.995	-0.847	0.098
-0.989	0.559	0.147
-0.981	-0.204	0.195
-0.970	0.196	0.243
-0.957	0.654	0.290
-0.942	-0.076	0.337
-0.924	-0.311	0.383
-0.904	-0.393	0.428
-0.882	0.130	0.471
-0.858	0.363	0.514
-0.831	0.160	0.556
-0.803	-0.598	0.596
-0.773	-0.806	0.634
-0.741	0.068	0.672
-0.707	-0.946	0.707
-0.672	-0.926	0.741
-0.634	0.791	0.773
-0.596	-0.069	0.803
-0.556	0.472	0.831
-0.514	0.695	0.858
-0.471	0.351	0.882
-0.428	-0.687	0.904
-0.383	-0.551	0.924
-0.337	0.967	0.942
-0.290	-0.402	0.957
-0.243	-0.572	0.970
-0.195	-0.235	0.981
-0.147	0.933	0.989
-0.098	-0.154	0.995
-0.049	-0.199	0.999
